Symbol,GICS_SUB
AAPL,Peripherals
ADP,Outsourced Services
AES,Energy Traders
AFL,Health Insurance
AIG,Casualty Insurance
AKAM,Infrastructure
ALL,Casualty Insurance
AME,Equipment
AMP,Custody Banks
AMZN,Direct Marketing Retail
APA,Gas Exploration
APTV,Equipment
BA,Defense
BALL,Glass Containers
BBY,Electronics Retail
BEN,Custody Banks
BF-B,Vintners
BIO,Services
BK,Custody Banks
BKNG,Direct Marketing Retail
BKR,Gas Equipment
BLK,Custody Banks
BR,Outsourced Services
BWA,Equipment
CAG,Meats
CAT,Heavy Trucks
CB,Casualty Insurance
CBOE,Data
CCL,Cruise Lines
CF,Agricultural Chemicals
CHRW,Logistics
CHTR,Satellite
CINF,Casualty Insurance
CMCSA,Satellite
CME,Data
COP,Gas Exploration
COST,Super Centers
CPB,Meats
CRL,Services
CSGP,Consulting Services
CTRA,Gas Exploration
CVX,Gas
CZR,Gaming
DE,Farm Machinery
DIS,Entertainment
DISH,Satellite
DVN,Gas Exploration
EBAY,Direct Marketing Retail
EFX,Consulting Services
EMR,Equipment
EOG,Gas Exploration
EQT,Gas Exploration
ETN,Equipment
ETSY,Direct Marketing Retail
EXPD,Logistics
EXPE,Direct Marketing Retail
FANG,Gas Exploration
FDS,Data
FDX,Logistics
FIS,Outsourced Services
FISV,Outsourced Services
FLT,Outsourced Services
FMC,Agricultural Chemicals
GD,Defense
GIS,Meats
GL,Health Insurance
GNRC,Equipment
GOOGL,Services
GPN,Outsourced Services
GS,Brokerage
HAL,Gas Equipment
HES,Gas
HIG,Casualty Insurance
HII,Defense
HLT,Cruise Lines
HPE,Peripherals
HPQ,Peripherals
HRL,Meats
HST,Resort REITs
HSY,Meats
HWM,Defense
ICE,Data
ILMN,Services
IQV,Services
IVZ,Custody Banks
J,Engineering
JKHY,Outsourced Services
K,Meats
KEYS,Instruments
KHC,Meats
KMI,Gas Storage
LHX,Defense
LMT,Defense
LVS,Gaming
LW,Meats
LYV,Entertainment
MA,Outsourced Services
MAR,Cruise Lines
MCO,Data
MDLZ,Meats
MET,Health Insurance
META,Services
MGM,Gaming
MKC,Meats
MKTX,Data
MOS,Agricultural Chemicals
MPC,Gas Refining
MRO,Gas Exploration
MS,Brokerage
MSCI,Data
MTCH,Services
MTD,Services
NCLH,Cruise Lines
NDAQ,Data
NFLX,Entertainment
NKE,Luxury Goods
NOC,Defense
NRG,Energy Traders
NTAP,Peripherals
NTRS,Custody Banks
