r1,bridge,r2
P1056,Q11456,P1056
P1056,Q11460,P1056
P1056,Q12140,P1056
P1056,Q12725,P1056
P1056,Q133215,P1056
P1056,Q147538,P1056
P1056,Q14864997,P1056
P1056,Q1546066,P1056
P1056,Q1548025,P1056
P1056,Q155972,P1056
P1056,Q1586573,P1056
P1056,Q161380,P1056
P1056,Q161928,P1056
P1056,Q16338,P1056
P1056,Q171947,P1056
P1056,Q17517,P1056
P1056,Q1814021,P1056
P1056,Q182076,P1056
P1056,Q182656,P1056
P1056,Q183484,P1056
P1056,Q184452,P1056
P1056,Q188507,P1056
P1056,Q209588,P1056
P1056,Q212920,P1056
P1056,Q216916,P1056
P1056,Q22645,P1056
P1056,Q22656,P1056
P1056,Q2638043,P1056
P1056,Q27686,P1056
P1056,Q319845,P1056
P1056,Q334911,P1056
P1056,Q3966,P1056
P1056,Q40858,P1056
P1056,Q43015,P1056
P1056,Q43183,P1056
P1056,Q43193,P1056
P1056,Q44127,P1056
P1056,Q487343,P1056
P1056,Q5297,P1056
P1056,Q5318,P1056
P1056,Q581105,P1056
P1056,Q6554101,P1056
P1056,Q671224,P1056
P1056,Q738621,P1056
P1056,Q7397,P1056
P1056,Q768186,P1056
P1056,Q768267,P1056
P1056,Q7889,P1056
P1056,Q79529,P1056
P1056,Q80831,P1056
P1056,Q83323,P1056
P1056,Q837171,P1056
P1056,Q873442,P1056
P1056,Q875157,P1056
P1056,Q180846,P31
P1056,Q22687,P31
P1056,Q319845,P31
P1056,Q3966,P31
P1056,Q483639,P31
P1056,Q7397,P31
P1056,Q873442,P31
P1056,Q11650,P452
P1056,Q1301371,P452
P1056,Q1546066,P452
P1056,Q16766413,P452
P1056,Q209588,P452
P1056,Q220499,P452
P1056,Q22656,P452
P1056,Q22687,P452
P1056,Q334911,P452
P1056,Q3510521,P452
P1056,Q3966,P452
P1056,Q401404,P452
P1056,Q4290,P452
P1056,Q43015,P452
P1056,Q43183,P452
P1056,Q483639,P452
P1056,Q581105,P452
P1056,Q590870,P452
P1056,Q626608,P452
P1056,Q6554101,P452
P1056,Q66221,P452
P1056,Q7397,P452
P1056,Q765633,P452
P1056,Q81799,P452
P1056,Q837171,P452
P1056,Q873442,P452
P112,Q323682,P112
P112,Q364220,P112
P112,Q380467,P112
P112,Q7519033,P112
P112,Q1521908,P127
P112,Q305177,P127
P112,Q312556,P127
P112,Q319137,P127
P112,Q348483,P127
P112,Q4934,P127
P112,Q5284,P127
P112,Q7306657,P127
P112,Q92759,P127
P112,Q92764,P127
P112,Q1344392,P169
P112,Q1521908,P169
P112,Q17305768,P169
P112,Q1903673,P169
P112,Q19837,P169
P112,Q241735,P169
P112,Q243969,P169
P112,Q296647,P169
P112,Q305177,P169
P112,Q312556,P169
P112,Q3161046,P169
P112,Q319137,P169
P112,Q319648,P169
P112,Q3218882,P169
P112,Q347432,P169
P112,Q4117176,P169
P112,Q432929,P169
P112,Q435716,P169
P112,Q4934,P169
P112,Q497827,P169
P112,Q5284,P169
P112,Q53944,P169
P112,Q5483294,P169
P112,Q5524792,P169
P112,Q6175884,P169
P112,Q7306657,P169
P112,Q7325595,P169
P112,Q7612483,P169
P112,Q8704,P169
P112,Q8768,P169
P112,Q6499202,P749
P113,Q14295,P113
P113,Q319654,P113
P113,Q8685,P113
P113,Q8731,P113
P114,Q8787,P114
P121,Q6387,P1056
P121,Q6394,P1056
P121,Q6401,P1056
P121,Q6409,P1056
P121,Q6418,P1056
P121,Q6423,P1056
P121,Q6425,P1056
P121,Q6428,P1056
P121,Q1084919,P121
P121,Q139289,P121
P121,Q207400,P121
P121,Q2355950,P121
P121,Q6387,P121
P121,Q6401,P121
P121,Q6418,P121
P121,Q6423,P121
P121,Q6425,P121
P121,Q6428,P121
P121,Q6475,P121
P127,Q1196231,P127
P127,Q1411292,P127
P127,Q1516562,P127
P127,Q201653,P127
P127,Q2037125,P127
P127,Q217583,P127
P127,Q219635,P127
P127,Q22032185,P127
P127,Q2557807,P127
P127,Q3511946,P127
P127,Q505275,P127
P127,Q5284,P127
P127,Q54173,P127
P127,Q55662775,P127
P127,Q7603552,P127
P127,Q849363,P127
P127,Q85750542,P127
P127,Q92759,P127
P127,Q970695,P127
P127,Q970769,P127
P131,Q1223,P159
P131,Q1297,P159
P131,Q16557,P159
P131,Q16559,P159
P131,Q16563,P159
P131,Q212793,P159
P131,Q30,P159
P131,Q60,P159
P1344,Q1107563,P1344
P1344,Q62562301,P1344
P1454,Q114794942,P1454
P1454,Q134161,P1454
P1454,Q149789,P1454
P1454,Q166280,P1454
P1454,Q167037,P1454
P1454,Q33685,P1454
P1454,Q422069,P1454
P1454,Q5225895,P1454
P1454,Q57655560,P1454
P1454,Q654502,P1454
P1454,Q6832945,P1454
P1454,Q697852,P1454
P1454,Q783794,P1454
P1454,Q88537331,P1454
P1454,Q891723,P1454
