ticker,wiki_code
A,Q393762
AAL,Q32396
AAP,Q4686051
AAPL,Q312
ABBV,Q14662364
ABC,Q470156
ABMD,Q4667884
ABT,Q306764
ACGL,Q28155430
ACN,Q338825
ADBE,Q11463
ADI,Q484930
ADM,Q267417
ADP,Q489080
ADSK,Q628051
AEE,Q462984
AEP,Q464092
AES,Q291508
AFL,Q26311
AIG,Q212235
AIZ,Q204296
AJG,Q4799191
AKAM,Q415598
ALB,Q127074
ALGN,Q30272258
ALK,Q822614
ALL,Q2645636
ALLE,Q16738121
AMAT,Q621610
AMD,Q128896
AME,Q470317
AMGN,Q470517
AMP,Q295261
AMT,Q4745263
AMZN,Q3884
ANET,Q2861324
ANSS,Q295774
AON,Q739518
AOS,Q4648219
APA,Q20311412
APD,Q407744
APH,Q474621
APTV,Q643626
ARE,Q48739877
ATO,Q4817084
ATVI,Q344341
AVB,Q4827537
AVGO,Q555925
AVY,Q790650
AWK,Q467238
AXP,Q194360
AZO,Q4826087
BA,Q66
BAC,Q487907
BALL,Q4034815
BAX,Q761965
BBWI,Q810773
BBY,Q533415
BDX,Q813780
BEN,Q744683
BF-B,Q392221
BIIB,Q864338
BIO,Q2904022
BK,Q589288
BKNG,Q18674747
BKR,Q804353
BLK,Q219635
BMY,Q266423
BR,Q4972280
BRK-B,Q217583
BRO,Q4976010
BSX,Q894585
BWA,Q825943
BXP,Q4844439
C,Q219508
CAG,Q1123399
CAH,Q902397
CAT,Q459965
CB,Q1089060
CBOE,Q1071853
CBRE,Q1023013
CCI,Q5189320
CCL,Q1044059
CDNS,Q608776
CDW,Q1023155
CE,Q547450
CF,Q905806
CFG,Q5122694
CHD,Q5116536
CHRW,Q931200
CHTR,Q2961234
CI,Q642271
CINF,Q5120253
CL,Q609466
CLX,Q910368
CMA,Q1114148
CMCSA,Q1113804
CME,Q1023876
CMG,Q465751
CMI,Q173476
CMS,Q5013012
CNC,Q5059102
CNP,Q725793
COF,Q1034654
COO,Q1129792
COP,Q214763
COST,Q715583
CPB,Q1030544
CPRT,Q16951448
CPT,Q5025803
CRL,Q5082076
CRM,Q941127
CSCO,Q173395
CSGP,Q16988748
CSX,Q1024454
CTAS,Q15109928
CTLT,Q19866242
CTRA,Q12479285
CTSH,Q1107035
