wiki_code,relation,node
Q393762,P361,Q242345
Q393762,P112,Q380467
Q393762,P355,Q28974264
Q393762,P355,Q28974265
Q393762,P355,Q30338441
Q393762,P355,Q30338442
Q393762,P355,Q30338444
Q28974264,P749,Q393762
Q28974265,P749,Q393762
Q30338441,P749,Q393762
Q30338442,P749,Q393762
Q30338444,P749,Q393762
Q393762,P17,Q30
Q393762,P1056,Q7397
Q393762,P159,Q159260
Q393762,P452,Q1047213
Q393762,P452,Q381233
Q393762,P31,Q4830453
Q393762,P31,Q6881511
Q393762,P31,Q891723
Q393762,P1454,Q166280
Q32396,P793,Q890629
Q32396,P793,Q4742943
Q32396,P793,Q4742955
Q32396,P793,Q4742953
Q32396,P793,Q4742941
Q32396,P793,Q4742942
Q32396,P793,Q4742957
Q32396,P793,Q4742960
Q32396,P793,Q4742959
Q32396,P793,Q4742948
Q32396,P793,Q19574749
Q32396,P793,Q4742946
Q32396,P793,Q783579
Q32396,P793,Q4742949
Q32396,P793,Q463197
Q32396,P793,Q4742945
Q32396,P793,Q4742954
Q32396,P793,Q4742940
Q32396,P793,Q941612
Q32396,P793,Q783597
Q32396,P793,Q11694
Q32396,P793,Q463237
Q32396,P793,Q384845
Q32396,P793,Q463206
Q32396,P793,Q463187
Q32396,P169,Q5300803
Q32396,P740,Q16558
Q32396,P114,Q8787
Q32396,P355,Q1536988
Q32396,P355,Q7571201
Q32396,P355,Q84915954
Q1536988,P749,Q32396
Q7571201,P749,Q32396
Q84915954,P749,Q32396
Q32396,P17,Q30
Q32396,P127,Q4742937
Q4742937,P1830,Q32396
Q32396,P749,Q4742937
Q32396,P749,Q295280
Q4742937,P355,Q32396
Q295280,P355,Q32396
Q32396,P159,Q16558
Q32396,P1830,Q2843066
Q2843066,P127,Q32396
Q32396,P121,Q6437
Q32396,P121,Q3317803
Q32396,P121,Q6488
Q32396,P121,Q3278675
Q32396,P121,Q6401
Q32396,P121,Q6387
Q32396,P121,Q6418
Q32396,P121,Q15624000
Q32396,P121,Q6425
Q32396,P121,Q6428
Q32396,P121,Q589498
Q32396,P121,Q207400
Q32396,P121,Q257298
Q32396,P121,Q62161
Q32396,P121,Q208075
Q32396,P121,Q6409
Q32396,P121,Q6394
Q32396,P121,Q6504
Q32396,P121,Q852646
Q32396,P121,Q384469
Q32396,P121,Q142591
Q32396,P121,Q190211
Q32396,P121,Q622673
Q32396,P121,Q503761
Q32396,P121,Q847409
Q32396,P121,Q868965
Q32396,P121,Q134215
Q32396,P121,Q3064523
Q32396,P121,Q1145789
Q32396,P121,Q744306
Q32396,P155,Q5148274
Q5148274,P156,Q32396
Q32396,P31,Q46970
Q32396,P31,Q4830453
Q32396,P31,Q891723
Q32396,P113,Q459096
Q32396,P113,Q213717
Q32396,P113,Q127530
Q32396,P113,Q8685
Q32396,P113,Q8731
Q32396,P113,Q597649
Q32396,P113,Q512128
Q32396,P113,Q676576
Q32396,P113,Q912916
Q32396,P113,Q319654
Q32396,P1454,Q33685
Q32396,P1454,Q88537331
Q4686051,P361,Q242345
Q4686051,P112,Q26702841
Q4686051,P17,Q30
Q4686051,P159,Q501796
Q4686051,P155,Q7987596
Q7987596,P156,Q4686051
Q4686051,P31,Q507619
Q4686051,P31,Q47516524
Q4686051,P31,Q4830453
Q4686051,P31,Q891723
Q312,P361,Q507306
Q312,P361,Q180816
Q312,P361,Q30748112
Q312,P361,Q242345
Q312,P169,Q926972
Q312,P169,Q369783
Q312,P169,Q337024
Q312,P169,Q64088
Q312,P169,Q713588
Q312,P169,Q19837
Q312,P169,Q265852
Q312,P740,Q864124
Q312,P112,Q483382
Q312,P112,Q332591
Q312,P112,Q19837
Q312,P355,Q1982831
Q312,P355,Q2893391
Q312,P355,Q1961036
Q312,P355,Q8084438
Q312,P355,Q16835875
Q312,P355,Q4038751
Q312,P355,Q7245704
Q312,P355,Q7298416
Q312,P355,Q7431115
Q312,P355,Q29000247
Q312,P355,Q29000259
Q312,P355,Q1095605
Q312,P355,Q421253
Q312,P355,Q105810600
Q312,P355,Q21463549
Q312,P355,Q111464892
Q1982831,P749,Q312
Q2893391,P749,Q312
Q1961036,P749,Q312
Q8084438,P749,Q312
Q16835875,P749,Q312
Q4038751,P749,Q312
Q7245704,P749,Q312
Q7298416,P749,Q312
Q7431115,P749,Q312
Q29000247,P749,Q312
Q29000259,P749,Q312
Q1095605,P749,Q312
Q421253,P749,Q312
Q105810600,P749,Q312
Q21463549,P749,Q312
Q111464892,P749,Q312
Q312,P17,Q30
Q312,P127,Q849363
Q312,P127,Q219635
Q312,P127,Q1196231
Q312,P127,Q217583
Q849363,P1830,Q312
Q219635,P1830,Q312
Q1196231,P1830,Q312
Q217583,P1830,Q312
Q312,P1056,Q270285
Q312,P1056,Q18010946
Q312,P1056,Q2796
Q312,P1056,Q9479
Q312,P1056,Q14091
Q312,P1056,Q3966
Q312,P1056,Q1546066
Q312,P1056,Q26936286
Q312,P1056,Q30137500
Q312,P1056,Q14094
Q312,P1056,Q2766
Q312,P1056,Q18010990
Q312,P1056,Q7397
Q312,P1056,Q8076
Q312,P1056,Q162768
Q312,P1056,Q16338
Q312,P1056,Q155972
Q312,P1056,Q1334829
Q312,P1056,Q22645
Q312,P1056,Q75687
Q312,P1056,Q581105
Q312,P1056,Q178648
Q312,P495,Q30
Q312,P463,Q20947086
Q312,P463,Q37033
Q312,P463,Q1361045
Q312,P463,Q7389502
Q312,P463,Q67904121
Q312,P463,Q79100838
Q312,P463,Q3616482
Q312,P463,Q2934750
Q312,P463,Q463681
Q312,P463,Q1008895
Q312,P463,Q1663561
Q312,P463,Q190835
Q312,P159,Q189471
Q312,P1830,Q1119662
Q312,P1830,Q110553619
Q1119662,P127,Q312
Q110553619,P127,Q312
Q312,P452,Q880371
Q312,P452,Q581105
Q312,P452,Q269415
Q312,P452,Q11650
Q312,P452,Q11661
Q312,P452,Q56598901
Q312,P452,Q638608
Q312,P3320,Q5494950
Q312,P3320,Q713588
Q312,P3320,Q92759
Q312,P3320,Q19837
Q312,P3320,Q5253152
Q312,P3320,Q369783
Q312,P3320,Q4800159
Q312,P3320,Q92747
Q312,P3320,Q337024
Q312,P3320,Q5328206
Q312,P3320,Q3177432
Q312,P3320,Q709063
Q312,P3320,Q265852
Q312,P3320,Q271117
Q312,P3320,Q7365310
Q312,P3320,Q6128032
Q312,P3320,Q19673
Q312,P3320,Q532423
Q312,P3320,Q17388808
Q312,P3320,Q1557228
Q312,P3320,Q16193601
Q312,P199,Q2893391
Q312,P199,Q421253
Q312,P199,Q65129345
Q312,P166,Q2586695
Q312,P6379,Q679527
Q312,P6379,Q188740
Q312,P6379,Q1809071
Q312,P6379,Q913672
Q312,P6379,Q2245203
Q312,P31,Q6881511
Q312,P31,Q4830453
Q312,P31,Q431289
Q312,P31,Q891723
Q312,P31,Q167037
Q312,P31,Q18388277
Q312,P31,Q1055701
Q312,P1454,Q57655560
Q312,P1454,Q891723
Q14662364,P361,Q242345
Q14662364,P361,Q1546793
Q14662364,P169,Q63410046
Q14662364,P740,Q1393
Q14662364,P355,Q29002439
Q14662364,P355,Q29002441
Q14662364,P355,Q29002457
Q14662364,P355,Q52479381
