index,r1,r2
1,P31,P366
2,P31,P452
3,P31,P1056
4,P112,P112
5,P112,P127
6,P112,P169
7,P113,P113
8,P114,P114
9,P121,P1056
10,P121,P121
11,P127,P127
12,P127,P169
13,P127,P749
14,P127,P1830
15,P127,P3320
16,P155,P155
17,P155,P355
18,P166,P166
19,P169,P169
20,P169,P3320
21,P199,P355
22,P306,P1056
23,P355,P127
24,P355,P199
25,P355,P355
26,P361,P361
27,P400,P1056
28,P452,P452
29,P452,P2770
30,P463,P463
31,P749,P1830
32,P1056,P1056
33,P1344,P1344
34,P1454,P1454
35,P159,P159
36,P159,P740
37,P414,P361
38,P740,P159
39,P740,P740
40,P127,P355
41,P361,P414
42,P452,P31
43,P452,P1056
44,P625,P625
45,P159,P17
46,P793,P793
47,P452,P1454
48,P452,P176
49,P6379,P6379
50,P749,P127
51,P749,P749
52,P4950,P495
53,P495,P740
54,P1830,P1830
55,P112,P749
56,P1056,P452
57,P1454,P452
58,P176,P452
59,P159,P131
60,P1830,P127
61,P1830,P749
62,P131,P159
63,P5009,P5009
64,P1056,P31
65,P1830,P355
66,P740,P495
67,P749,P112
68,P361,P463
69,P463,P361
70,P355,P1830
71,P127,P112
72,P169,P112
73,P1056,P121
74,P169,P127
75,P3320,P127
76,P355,P155
77,P3320,P169
78,P1056,P306
79,P17,P159
80,P495,P4950
81,P366,P31
82,P1056,P400
83,P2770,P452
