,wiki_code,relation,node
0,Q393762,P414,Q13677
1,Q393762,P31,Q4830453
2,Q393762,P159,Q159260
3,Q393762,P17,Q30
4,Q393762,P112,Q380467
5,Q393762,P355,Q28974264
6,Q393762,P355,Q28974265
7,Q393762,P355,Q30338441
8,Q393762,P355,Q30338442
9,Q393762,P355,Q30338444
10,Q393762,P1056,Q7397
11,Q32396,P31,Q46970
12,Q32396,P114,Q8787
13,Q32396,P113,Q459096
14,Q32396,P113,Q213717
15,Q32396,P113,Q127530
16,Q32396,P113,Q8685
17,Q32396,P113,Q8731
18,Q32396,P113,Q597649
19,Q32396,P113,Q512128
20,Q32396,P113,Q676576
21,Q32396,P113,Q912916
22,Q32396,P113,Q319654
23,Q32396,P121,Q6437
24,Q32396,P121,Q3317803
25,Q32396,P121,Q6488
26,Q32396,P121,Q3278675
27,Q32396,P121,Q6401
28,Q32396,P121,Q6387
29,Q32396,P121,Q6418
30,Q32396,P121,Q15624000
31,Q32396,P121,Q6425
32,Q32396,P121,Q6428
33,Q32396,P121,Q589498
34,Q32396,P121,Q207400
35,Q32396,P121,Q257298
36,Q32396,P121,Q62161
37,Q32396,P121,Q208075
38,Q32396,P121,Q6409
39,Q32396,P121,Q6394
40,Q32396,P121,Q6504
41,Q32396,P121,Q852646
42,Q32396,P121,Q384469
43,Q32396,P121,Q142591
44,Q32396,P121,Q190211
45,Q32396,P121,Q622673
46,Q32396,P121,Q503761
47,Q32396,P121,Q847409
48,Q32396,P121,Q17627649
49,Q32396,P121,Q134215
50,Q32396,P121,Q3064523
51,Q32396,P121,Q1145789
52,Q32396,P121,Q744306
53,Q32396,P17,Q30
54,Q32396,P127,Q4742937
55,Q32396,P169,Q5300803
56,Q32396,P159,Q16558
57,Q32396,P355,Q968566
58,Q32396,P355,Q7571201
59,Q32396,P155,Q5148274
60,Q32396,P793,Q890629
61,Q32396,P793,Q4742943
62,Q32396,P793,Q4742955
63,Q32396,P793,Q4742953
64,Q32396,P793,Q4742941
65,Q32396,P793,Q4742942
66,Q32396,P793,Q4742957
67,Q32396,P793,Q4742960
68,Q32396,P793,Q4742959
69,Q32396,P793,Q4742948
70,Q32396,P793,Q19574749
71,Q32396,P793,Q4742946
72,Q32396,P793,Q783579
73,Q32396,P793,Q4742949
74,Q32396,P793,Q463197
75,Q32396,P793,Q4742945
76,Q32396,P793,Q4742954
77,Q32396,P793,Q4742940
78,Q32396,P793,Q941612
79,Q32396,P793,Q783597
80,Q32396,P793,Q11694
81,Q32396,P793,Q463237
82,Q32396,P793,Q384845
83,Q32396,P793,Q463206
84,Q32396,P793,Q463187
85,Q32396,P740,Q16558
86,Q32396,P414,Q82059
87,Q32396,P361,Q507306
88,Q32396,P1454,Q33685
89,Q32396,P749,Q4742937
90,Q32396,P1830,Q2843066
91,Q4686051,P414,Q13677
92,Q4686051,P31,Q4830453
93,Q4686051,P155,Q7987596
94,Q4686051,P17,Q30
95,Q4686051,P159,Q501796
96,Q4686051,P361,Q242345
97,Q312,P112,Q483382
98,Q312,P112,Q332591
99,Q312,P112,Q19837
100,Q312,P17,Q30
101,Q312,P355,Q1982831
102,Q312,P355,Q2893391
103,Q312,P355,Q1961036
104,Q312,P355,Q8084438
105,Q312,P355,Q16835875
106,Q312,P355,Q4038751
107,Q312,P355,Q7245704
108,Q312,P355,Q7298416
109,Q312,P355,Q7431115
110,Q312,P355,Q29000247
111,Q312,P355,Q29000259
112,Q312,P355,Q1095605
113,Q312,P355,Q421253
114,Q312,P355,Q105810600
115,Q312,P355,Q21463549
116,Q312,P355,Q111464892
117,Q312,P199,Q2893391
118,Q312,P199,Q421253
119,Q312,P199,Q65129345
120,Q312,P414,Q82059
121,Q312,P414,Q217475
122,Q312,P452,Q880371
123,Q312,P452,Q581105
124,Q312,P452,Q269415
125,Q312,P452,Q11650
126,Q312,P452,Q11661
127,Q312,P452,Q56598901
128,Q312,P452,Q638608
129,Q312,P1454,Q57655560
130,Q312,P1454,Q891723
131,Q312,P1056,Q270285
132,Q312,P1056,Q18010946
133,Q312,P1056,Q2796
134,Q312,P1056,Q9479
135,Q312,P1056,Q14091
136,Q312,P1056,Q3966
137,Q312,P1056,Q1546066
138,Q312,P1056,Q26936286
139,Q312,P1056,Q30137500
140,Q312,P1056,Q14094
141,Q312,P1056,Q2766
142,Q312,P1056,Q18010990
143,Q312,P1056,Q7397
144,Q312,P1056,Q8076
145,Q312,P1056,Q162768
146,Q312,P1056,Q16338
147,Q312,P1056,Q155972
148,Q312,P1056,Q1334829
149,Q312,P1056,Q22645
150,Q312,P1056,Q75687
151,Q312,P1056,Q581105
152,Q312,P1056,Q178648
153,Q312,P740,Q864124
154,Q312,P1830,Q1119662
155,Q312,P1830,Q110553619
156,Q312,P3320,Q5494950
157,Q312,P3320,Q713588
158,Q312,P3320,Q92759
159,Q312,P3320,Q19837
160,Q312,P3320,Q5253152
161,Q312,P3320,Q369783
162,Q312,P3320,Q4800159
163,Q312,P3320,Q92747
164,Q312,P3320,Q337024
165,Q312,P3320,Q5328206
166,Q312,P3320,Q3177432
167,Q312,P3320,Q709063
168,Q312,P3320,Q265852
169,Q312,P3320,Q271117
170,Q312,P3320,Q7365310
171,Q312,P3320,Q6128032
172,Q312,P3320,Q19673
173,Q312,P3320,Q532423
174,Q312,P3320,Q17388808
175,Q312,P3320,Q19837
176,Q312,P3320,Q1557228
177,Q312,P3320,Q16193601
178,Q312,P31,Q6881511
179,Q312,P31,Q4830453
180,Q312,P31,Q431289
181,Q312,P31,Q891723
182,Q312,P31,Q167037
183,Q312,P31,Q18388277
184,Q312,P31,Q1055701
185,Q312,P361,Q507306
186,Q312,P361,Q180816
187,Q312,P361,Q30748112
188,Q312,P361,Q242345
189,Q312,P463,Q20947086
190,Q312,P463,Q37033
191,Q312,P463,Q1361045
192,Q312,P463,Q7389502
193,Q312,P463,Q67904121
194,Q312,P463,Q79100838
195,Q312,P463,Q3616482
196,Q312,P463,Q2934750
197,Q312,P463,Q463681
198,Q312,P463,Q1008895
199,Q312,P463,Q1663561
200,Q312,P463,Q190835
201,Q312,P495,Q30
202,Q312,P6379,Q679527
203,Q312,P6379,Q188740
204,Q312,P6379,Q1809071
205,Q312,P6379,Q913672
206,Q312,P6379,Q2245203
207,Q312,P159,Q189471
208,Q312,P159,Q189471
209,Q312,P127,Q849363
210,Q312,P127,Q219635
211,Q312,P127,Q1196231
212,Q312,P127,Q217583
213,Q312,P169,Q926972
214,Q312,P169,Q369783
215,Q312,P169,Q337024
216,Q312,P169,Q64088
217,Q312,P169,Q713588
218,Q312,P169,Q19837
219,Q312,P169,Q265852
220,Q312,P166,Q2586695
221,Q14662364,P31,Q4830453
222,Q14662364,P31,Q19644607
223,Q14662364,P17,Q30
224,Q14662364,P414,Q13677
225,Q14662364,P159,Q338720
226,Q14662364,P361,Q242345
227,Q14662364,P452,Q507443
228,Q14662364,P355,Q29002439
229,Q14662364,P355,Q29002441
230,Q14662364,P355,Q29002457
231,Q14662364,P355,Q52479381
232,Q470156,P414,Q13677
233,Q470156,P31,Q4830453
234,Q470156,P31,Q6881511
235,Q470156,P159,Q1134243
236,Q470156,P452,Q507443
237,Q470156,P1454,Q134161
238,Q4667884,P31,Q4830453
239,Q4667884,P159,Q1066487
240,Q4667884,P17,Q30
241,Q4667884,P355,Q29123386
242,Q306764,P414,Q13677
243,Q306764,P31,Q4830453
244,Q306764,P31,Q6881511
245,Q306764,P361,Q242345
246,Q306764,P452,Q507443
247,Q306764,P159,Q338720
248,Q306764,P17,Q30
249,Q306764,P740,Q1297
250,Q306764,P1454,Q134161
251,Q306764,P355,Q28974637
252,Q306764,P355,Q28974638
253,Q306764,P355,Q11284799
254,Q306764,P355,Q28974641
255,Q306764,P355,Q28974642
256,Q306764,P355,Q28974643
257,Q338825,P414,Q13677
258,Q338825,P31,Q4830453
259,Q338825,P31,Q891723
260,Q338825,P31,Q6881511
261,Q338825,P155,Q392730
262,Q338825,P159,Q1761
263,Q338825,P169,Q15067369
264,Q338825,P452,Q23699878
265,Q338825,P452,Q61515
266,Q338825,P452,Q11661
267,Q338825,P452,Q23700345
268,Q338825,P361,Q242345
269,Q338825,P1454,Q422069
270,Q338825,P740,Q30985
271,Q338825,P17,Q27
272,Q338825,P355,Q29123308
273,Q338825,P355,Q29123313
274,Q338825,P355,Q30338429
275,Q338825,P355,Q30338430
276,Q338825,P355,Q30338431
277,Q338825,P355,Q60171044
278,Q338825,P1830,Q4674790
279,Q11463,P361,Q242345
280,Q11463,P361,Q507306
281,Q11463,P31,Q377688
282,Q11463,P31,Q4830453
283,Q11463,P31,Q6881511
284,Q11463,P31,Q59859818
285,Q11463,P31,Q1058914
286,Q11463,P159,Q16553
287,Q11463,P159,Q1761
288,Q11463,P169,Q2622748
289,Q11463,P169,Q2745626
290,Q11463,P169,Q1344392
291,Q11463,P112,Q2959209
292,Q11463,P112,Q1344392
293,Q11463,P414,Q82059
294,Q11463,P414,Q171240
295,Q11463,P452,Q880371
296,Q11463,P452,Q11661
297,Q11463,P452,Q638608
298,Q11463,P17,Q30
299,Q11463,P740,Q16553
300,Q11463,P463,Q20947086
301,Q11463,P463,Q858851
302,Q11463,P463,Q37033
303,Q11463,P463,Q67904121
304,Q11463,P463,Q80656429
305,Q11463,P463,Q852297
306,Q11463,P463,Q82025113
307,Q11463,P463,Q2934750
308,Q11463,P463,Q492705
309,Q11463,P463,Q2985457
310,Q11463,P1454,Q891723
311,Q11463,P355,Q6770934
312,Q11463,P355,Q14636918
313,Q11463,P1056,Q7397
314,Q11463,P1830,Q2823478
315,Q11463,P1830,Q4684009
316,Q11463,P1830,Q4880667
317,Q11463,P1830,Q6658161
318,Q11463,P1830,Q7430731
319,Q11463,P1830,Q7978473
320,Q11463,P1830,Q575990
321,Q11463,P793,Q76316495
322,Q11463,P793,Q76316497
323,Q484930,P31,Q4830453
324,Q484930,P31,Q6881511
325,Q484930,P414,Q82059
326,Q484930,P155,Q7239527
327,Q484930,P159,Q2415892
328,Q484930,P740,Q49111
329,Q484930,P1454,Q134161
330,Q484930,P17,Q30
331,Q484930,P112,Q7298142
332,Q484930,P361,Q507306
333,Q267417,P31,Q4830453
334,Q267417,P31,Q6881511
335,Q267417,P159,Q10690
336,Q267417,P414,Q171240
337,Q267417,P1454,Q5225895
338,Q267417,P112,Q5720851
339,Q267417,P452,Q2518196
340,Q489080,P31,Q4830453
341,Q489080,P31,Q6881511
342,Q489080,P414,Q82059
343,Q489080,P112,Q5729029
344,Q489080,P159,Q1082801
345,Q489080,P1454,Q134161
346,Q489080,P740,Q138391
347,Q489080,P452,Q1056396
348,Q489080,P169,Q18748951
349,Q489080,P361,Q507306
350,Q489080,P1830,Q58111435
351,Q628051,P31,Q4830453
352,Q628051,P31,Q6881511
353,Q628051,P112,Q93033
354,Q628051,P159,Q631915
355,Q628051,P414,Q82059
356,Q628051,P17,Q30
357,Q628051,P740,Q846413
358,Q628051,P1454,Q891723
359,Q628051,P452,Q638608
360,Q628051,P355,Q30338559
361,Q628051,P1056,Q184793
362,Q628051,P1056,Q7397
363,Q628051,P361,Q507306
364,Q628051,P1830,Q3560555
365,Q628051,P1830,Q3788533
366,Q628051,P1830,Q4049103
367,Q628051,P1830,Q6895780
368,Q462984,P414,Q13677
369,Q462984,P31,Q4830453
370,Q462984,P31,Q6881511
371,Q462984,P159,Q38022
372,Q462984,P1454,Q134161
373,Q462984,P17,Q30
374,Q462984,P361,Q242345
375,Q464092,P414,Q13677
376,Q464092,P31,Q4830453
377,Q464092,P31,Q6881511
378,Q464092,P159,Q16567
379,Q464092,P155,Q8055707
380,Q464092,P17,Q30
381,Q464092,P1454,Q134161
382,Q464092,P1830,Q3438152
383,Q464092,P1830,Q11978950
384,Q464092,P1830,Q19372239
385,Q291508,P414,Q13677
386,Q291508,P31,Q4830453
387,Q291508,P31,Q6881511
388,Q291508,P17,Q30
389,Q291508,P361,Q242345
390,Q291508,P1454,Q134161
391,Q291508,P159,Q107126
392,Q291508,P355,Q30263985
393,Q291508,P1830,Q4527522
394,Q291508,P1830,Q4651363
395,Q26311,P414,Q13677
396,Q26311,P414,Q217475
397,Q26311,P31,Q4830453
398,Q26311,P159,Q239870
399,Q26311,P361,Q242345
400,Q212235,P414,Q13677
401,Q212235,P414,Q217475
402,Q212235,P31,Q4830453
403,Q212235,P31,Q6881511
404,Q212235,P112,Q183340
405,Q212235,P159,Q60
406,Q212235,P1454,Q891723
407,Q212235,P740,Q60
408,Q212235,P17,Q30
409,Q212235,P452,Q837171
410,Q212235,P1830,Q841968
411,Q212235,P1830,Q3490201
412,Q293796,P414,Q13677
413,Q293796,P31,Q4830453
414,Q293796,P31,Q6881511
415,Q293796,P112,Q7704243
416,Q293796,P159,Q16554
417,Q293796,P1454,Q134161
418,Q204296,P31,Q46970
419,Q204296,P121,Q6475
420,Q204296,P121,Q2355950
421,Q204296,P121,Q906937
422,Q204296,P121,Q6423
423,Q204296,P121,Q6425
424,Q204296,P121,Q6428
425,Q204296,P17,Q664
426,Q204296,P113,Q45938
427,Q204296,P114,Q189709
428,Q204296,P159,Q37100
429,Q204296,P199,Q4698114
430,Q204296,P355,Q127316
431,Q204296,P355,Q1054700
432,Q204296,P355,Q1138889
433,Q204296,P355,Q4698114
434,Q204296,P740,Q23661
435,Q204296,P414,Q732670
436,Q204296,P414,Q627019
437,Q204296,P1830,Q127316
438,Q204296,P1830,Q1054700
439,Q204296,P1830,Q1138889
440,Q4799191,P414,Q13677
441,Q4799191,P31,Q4830453
442,Q4799191,P159,Q2671295
443,Q415598,P31,Q4830453
444,Q415598,P31,Q6881511
445,Q415598,P112,Q5424058
446,Q415598,P112,Q92858
447,Q415598,P112,Q7291568
448,Q415598,P414,Q82059
449,Q415598,P159,Q49111
450,Q415598,P355,Q7249597
451,Q415598,P17,Q30
452,Q415598,P1454,Q134161
453,Q415598,P1454,Q891723
454,Q415598,P127,Q505275
455,Q415598,P127,Q849363
456,Q415598,P452,Q56611700
457,Q415598,P452,Q5892272
458,Q415598,P1830,Q7303572
459,Q127074,P414,Q13677
460,Q127074,P31,Q4830453
461,Q127074,P31,Q6881511
462,Q127074,P159,Q28218
463,Q127074,P452,Q207652
464,Q127074,P17,Q30
465,Q127074,P355,Q29113538
466,Q127074,P355,Q30338138
467,Q127074,P355,Q30338139
468,Q127074,P740,Q16565
469,Q127074,P1454,Q891723
470,Q30272258,P17,Q30
471,Q30272258,P31,Q4830453
472,Q30272258,P31,Q783794
473,Q30272258,P31,Q891723
474,Q30272258,P159,Q16553
475,Q30272258,P1454,Q783794
476,Q30272258,P1056,Q593903
477,Q30272258,P414,Q82059
478,Q30272258,P361,Q242345
479,Q822614,P31,Q46970
480,Q822614,P31,Q891723
481,Q822614,P17,Q30
482,Q822614,P121,Q2355950
483,Q822614,P121,Q1084919
484,Q822614,P121,Q139289
485,Q822614,P113,Q8731
486,Q822614,P113,Q1425566
487,Q822614,P113,Q14295
488,Q822614,P113,Q767753
489,Q822614,P127,Q4033665
490,Q822614,P112,Q6554178
491,Q822614,P169,Q4954314
492,Q822614,P159,Q5083
493,Q822614,P414,Q13677
494,Q822614,P749,Q4033665
495,Q822614,P1454,Q134161
496,Q822614,P740,Q39450
497,Q822614,P114,Q8787
498,Q2645636,P414,Q13677
499,Q2645636,P31,Q4830453
500,Q2645636,P31,Q6881511
501,Q2645636,P159,Q570986
502,Q2645636,P749,Q6499202
503,Q2645636,P17,Q30
504,Q2645636,P169,Q7791174
505,Q2645636,P1454,Q891723
506,Q16738121,P414,Q13677
507,Q16738121,P31,Q4830453
508,Q16738121,P159,Q1761
509,Q621610,P31,Q4830453
510,Q621610,P31,Q6881511
511,Q621610,P414,Q82059
512,Q621610,P414,Q151139
513,Q621610,P414,Q496672
514,Q621610,P159,Q159260
515,Q621610,P17,Q30
516,Q621610,P1056,Q3966
517,Q621610,P355,Q28974288
518,Q621610,P355,Q28974289
519,Q621610,P1454,Q891723
520,Q621610,P361,Q507306
521,Q128896,P452,Q1326885
522,Q128896,P452,Q2986369
523,Q128896,P452,Q1067601
524,Q128896,P414,Q13677
525,Q128896,P414,Q82059
526,Q128896,P414,Q2632892
527,Q128896,P31,Q4830453
528,Q128896,P31,Q6881511
529,Q128896,P31,Q891723
530,Q128896,P17,Q30
531,Q128896,P155,Q213849
532,Q128896,P155,Q1053326
533,Q128896,P155,Q22009884
534,Q128896,P355,Q17108081
535,Q128896,P355,Q213849
536,Q128896,P355,Q1046482
537,Q128896,P112,Q16018448
538,Q128896,P112,Q1687865
539,Q128896,P112,Q930948
540,Q128896,P169,Q18207172
541,Q128896,P463,Q20947086
542,Q128896,P463,Q858851
543,Q128896,P463,Q1361045
544,Q128896,P463,Q7389502
545,Q128896,P463,Q1008895
546,Q128896,P1454,Q134161
547,Q128896,P1454,Q891723
548,Q128896,P361,Q242345
549,Q128896,P1830,Q213849
550,Q128896,P1830,Q1192654
551,Q128896,P1830,Q28845729
552,Q128896,P1830,Q33083031
553,Q128896,P1830,Q390562
554,Q128896,P159,Q208459
555,Q128896,P159,Q159260
556,Q128896,P740,Q208459
557,Q128896,P1056,Q3966
558,Q128896,P1056,Q5297
559,Q128896,P1056,Q183484
560,Q128896,P1056,Q182656
561,Q128896,P1056,Q1440676
562,Q128896,P1056,Q12047069
563,Q128896,P1889,Q11320497
564,Q470317,P31,Q891723
565,Q470317,P414,Q13677
566,Q470317,P17,Q30
567,Q470317,P159,Q261549
568,Q470317,P1454,Q134161
569,Q470317,P452,Q187939
570,Q470317,P355,Q28971958
571,Q470317,P1830,Q19842897
572,Q25775,P414,Q13677
573,Q25775,P31,Q4830453
574,Q25775,P31,Q6881511
575,Q25775,P159,Q54138
576,Q25775,P1454,Q891723
577,Q25775,P452,Q837171
578,Q470517,P414,Q82059
579,Q470517,P414,Q496672
580,Q470517,P31,Q4830453
581,Q470517,P31,Q6881511
582,Q470517,P159,Q208447
583,Q470517,P17,Q30
584,Q470517,P452,Q507443
585,Q470517,P740,Q208447
586,Q470517,P1454,Q891723
587,Q470517,P361,Q242345
588,Q470517,P361,Q507306
589,Q470517,P355,Q30338472
590,Q470517,P355,Q30338474
591,Q295261,P31,Q4830453
592,Q295261,P31,Q6881511
593,Q295261,P159,Q3130
594,Q295261,P17,Q408
595,Q295261,P127,Q190464
596,Q295261,P1454,Q891723
597,Q295261,P414,Q732670
598,Q295261,P1830,Q5419582
599,Q295261,P1830,Q7755971
600,Q295261,P1830,Q53855512
601,Q4745263,P414,Q13677
602,Q4745263,P31,Q4830453
603,Q4745263,P31,Q6881511
604,Q4745263,P159,Q100
605,Q4745263,P1454,Q891723
606,Q3884,P112,Q312556
607,Q3884,P169,Q41812531
608,Q3884,P169,Q312556
609,Q3884,P355,Q280457
610,Q3884,P355,Q456157
611,Q3884,P355,Q230051
612,Q3884,P355,Q147505
613,Q3884,P355,Q46973305
614,Q3884,P355,Q98081129
615,Q3884,P355,Q22906322
616,Q3884,P355,Q28129037
617,Q3884,P355,Q4042525
618,Q3884,P355,Q4740865
619,Q3884,P355,Q6418754
620,Q3884,P355,Q4740868
621,Q3884,P355,Q366651
622,Q3884,P355,Q30315155
623,Q3884,P355,Q7719162
624,Q3884,P355,Q223142
625,Q3884,P355,Q5275948
626,Q3884,P355,Q2359213
627,Q3884,P355,Q5449851
628,Q3884,P355,Q5297222
629,Q3884,P355,Q1809448
630,Q3884,P355,Q1663991
631,Q3884,P355,Q5271745
